Имя,Год,Страна,Сахар,Цена,Рейтинг,Количество отзывов,Наличие отзывов,Ценовая категория,Цена/Рейтинг
"Вино L`Apparita, Castello di Ama",2013,Италия,Сухое,64990.0,5.0,1.0,1,Дорогое,0.32228915662650603
"Вино Mille e Una Notte, Donnafugata",2013,Италия,Сухое,12019.0,0.0,0.0,0,Среднее,
"Вино Don Maximiano Founder's Reserve, Errazuriz",2013,Чили,Сухое,16490.0,0.0,0.0,0,Дорогое,
"Вино Savigny-les-Beaune 1er Cru aux Vergelesses  Blanc, Simon Bize & Fils",2013,Франция,Сухое,14990.0,0.0,0.0,0,Среднее,
"Вино Clos Vougeot Grand Cru, Bouchard Pere & Fils",2013,Франция,Сухое,64990.0,0.0,0.0,0,Дорогое,
"Вино Clos de la Coulee de Serrant, Nicolas Joly",2013,Франция,Сухое,27990.0,0.0,0.0,0,Дорогое,
"Вино Amarone della Valpolicella, Dal Forno Romano",2013,Италия,Сухое,64990.0,0.0,0.0,0,Дорогое,
"Вино Ribolla, Gravner",2013,Италия,Сухое,15990.0,5.0,1.0,1,Среднее,0.07630522088353414
Вино Chateau Latour,2013,Франция,Сухое,129990.0,5.0,1.0,1,Дорогое,0.6485943775100402
Вино Le Serre Nuove dell'Ornellaia,2013,Италия,Сухое,19990.0,0.0,0.0,0,Дорогое,
"Вино Serpico, Feudi di San Gregorio",2014,Италия,Сухое,11190.0,5.0,1.0,1,Среднее,0.05220883534136546
Вино Chateau Quintus,2014,Франция,Сухое,21490.0,0.0,0.0,0,Дорогое,
Вино Chateau Belair Monange,2014,Франция,Сухое,28490.0,0.0,0.0,0,Дорогое,
"Вино Ribolla, Gravner",2014,Италия,Сухое,17490.0,5.0,1.0,1,Дорогое,0.08383534136546185
Вино Finca Nueva Reserva,2014,Испания,Сухое,3690.0,4.7,4.0,1,Дешевое,0.015487481842262665
"Вино L`Apparita, Castello di Ama",2014,Италия,Сухое,54990.0,5.0,1.0,1,Дорогое,0.2720883534136546
"Вино L’Hermitage Rouge, Jean-Louis Chave",2014,Франция,Сухое,114990.0,0.0,0.0,0,Дорогое,
Вино Chateau d'Armailhac,2014,Франция,Сухое,14690.0,5.0,0.0,0,Среднее,0.06977911646586345
Вино Chateau-Grillet,2014,Франция,Сухое,86930.0,5.0,0.0,0,Дорогое,0.432429718875502
Вино Chateau L'Evangile,2014,Франция,Сухое,44990.0,5.0,0.0,0,Дорогое,0.22188755020080322
Вино Chateau Pedesclaux,2014,Франция,Сухое,9190.0,5.0,0.0,0,Среднее,0.04216867469879518
Вино Chateau Lynch-Bages,2014,Франция,Сухое,28490.0,0.0,0.0,0,Дорогое,
"Вино Serpico, Feudi di San Gregorio",2014,Италия,Сухое,11190.0,5.0,1.0,1,Среднее,0.05220883534136546
Вино Chateau Lalande-Borie,2014,Франция,Сухое,6490.0,5.0,1.0,1,Среднее,0.028614457831325296
Вино Chateau Carbonnieux Rouge,2014,Франция,Сухое,7590.0,5.0,5.0,1,Среднее,0.03413654618473896
"Вино Barolo Cerequio, Roberto Voerzio",2014,Италия,Сухое,69990.0,0.0,0.0,0,Дорогое,
Вино Le Serre Nuove dell'Ornellaia,2014,Италия,Сухое,19990.0,0.0,0.0,0,Дорогое,
"Вино L’Hermitage Rouge, Jean-Louis Chave",2014,Франция,Сухое,114990.0,0.0,0.0,0,Дорогое,
Вино Chateau Talbot,2014,Франция,Сухое,17490.0,5.0,1.0,1,Дорогое,0.08383534136546185
"Вино La Clarte de Haut-Brion, Chateau Haut-Brion",2014,Франция,Сухое,18990.0,5.0,0.0,0,Дорогое,0.09136546184738956
Вино Chateau Pichon Baron,2014,Франция,Сухое,37990.0,0.0,0.0,0,Дорогое,
Вино Chateau Angludet,2014,Франция,Сухое,9990.0,5.0,0.0,0,Среднее,0.04618473895582329
"Вино Flor de Pingus, Dominio de Pingus",2014,Испания,Сухое,37490.0,5.0,0.0,0,Дорогое,0.18423694779116467
"Вино Moulin-a-Vent Chassignol, Domaine Jules Desjourneys",2014,Франция,Сухое,15990.0,0.0,0.0,0,Среднее,
Вино Tenuta di Valgiano,2014,Италия,Сухое,14990.0,0.0,0.0,0,Среднее,
"Вино Les Fiefs de Lagrange, Chateau Lagrange",2014,Франция,Сухое,5990.0,0.0,0.0,0,Среднее,
"Вино Cahors Les Galets, Clos Triguedina",2014,Франция,Сухое,9490.0,5.0,0.0,0,Среднее,0.04367469879518072
Вино Chateau Clinet (Pomerol),2014,Франция,Сухое,18990.0,5.0,1.0,1,Дорогое,0.09136546184738956
Вино Chateau Lalande-Borie,2014,Франция,Сухое,6490.0,5.0,1.0,1,Среднее,0.028614457831325296
"Вино Chenas Le Jugement Dernier, Domaine Jules Desjourneys",2014,Франция,Сухое,9290.0,0.0,0.0,0,Среднее,
"Вино Moulin-a-Vent, Domaine Jules Desjourneys",2014,Франция,Сухое,11490.0,0.0,0.0,0,Среднее,
"Вино Valpolicella Superiore, Dal Forno Romano",2014,Италия,Сухое,19990.0,5.0,0.0,0,Дорогое,0.0963855421686747
Вино Montevertine,2015,Италия,Сухое,19990.0,5.0,0.0,0,Дорогое,0.0963855421686747
"Вино KAI, Errazuriz",2015,Чили,Сухое,19990.0,5.0,0.0,0,Дорогое,0.0963855421686747
"Вино Brunello di Montalcino Riserva, Le Potazzine",2015,Италия,Сухое,47990.0,0.0,0.0,0,Дорогое,
Вино Chateau Angelus,2015,Франция,Сухое,96590.0,0.0,0.0,0,Дорогое,
"Вино Amarone della Valpolicella, Dal Forno Romano",2015,Италия,Сухое,72490.0,0.0,0.0,0,Дорогое,
Вино Chateau Branaire-Ducru,2015,Франция,Сухое,12990.0,5.0,0.0,0,Среднее,0.06124497991967871
"Вино Valpolicella Superiore, Dal Forno Romano",2015,Италия,Сухое,21490.0,5.0,0.0,0,Дорогое,0.10391566265060241
"Вино Derthona Costa del Vento, Vigneti Massa",2015,Италия,Полусухое,13790.0,0.0,0.0,0,Среднее,
"Вино Brunello di Montalcino Bassolino di Sopra, Pian dell'Orino",2015,Италия,Сухое,44990.0,0.0,0.0,0,Дорогое,
Вино Tenuta di Valgiano,2015,Италия,Сухое,17990.0,0.0,0.0,0,Дорогое,
"Вино Bourgogne Aligote, Domaine Leroy",2015,Франция,Сухое,24990.0,0.0,0.0,0,Дорогое,
Вино Chateau Belair Monange Premier Grand Cru Classe(Saint-Emilion Grand Cru),2015,Франция,Сухое,44990.0,0.0,0.0,0,Дорогое,
Вино Le Serre Nuove dell'Ornellaia,2015,Италия,Сухое,19990.0,0.0,0.0,0,Дорогое,
Вино Domaine de l'A,2015,Франция,Сухое,6190.0,5.0,2.0,1,Среднее,0.027108433734939756
"Вино Вино Савиньи-ле-Бон Премье Крю о Вержелес 2015,0.75 л, 13.5%, Франция, Бургундия, САРЛ Симон Бизэ Фи, Simon Bize & Fils",2015,Франция,Сухое,14990.0,0.0,0.0,0,Среднее,
Вино Chateau Quintus,2015,Франция,Сухое,30490.0,0.0,0.0,0,Дорогое,
"Вино Valpolicella Classico Superiore, Giuseppe Quintarelli",2015,Италия,Сухое,21490.0,5.0,0.0,0,Дорогое,0.10391566265060241
"Вино L’Hermitage Blanc  , Jean-Louis Chave",2015,Франция,Сухое,124990.0,0.0,0.0,0,Дорогое,
"Вино Chianti Classico Gran Selezione Vigneto Bellavista, Castello di Ama",2015,Италия,Сухое,59990.0,4.0,0.0,0,Дорогое,0.37148594377510036
"Вино Corton-Charlemagne Grand Cru, Domaine Bonneau du Martray",2015,Франция,Сухое,74990.0,0.0,0.0,0,Дорогое,
"Вино Boggina C, Petrolo",2015,Италия,Сухое,11190.0,0.0,0.0,0,Среднее,
Вино Chateau Clinet (Pomerol),2015,Франция,Сухое,34990.0,5.0,1.0,1,Дорогое,0.17168674698795183
Вино Chateau Beaumont,2015,Франция,Сухое,3990.0,4.6,7.0,1,Дешевое,0.01746114894360049
Вино Chateau Troplong Mondot,2015,Франция,Сухое,30990.0,0.0,0.0,0,Дорогое,
