Имя,Год,Страна,Сахар,Цена,Рейтинг,Количество отзывов
"Вино Cahors Les Galets, Clos Triguedina",2014.0,Франция,Сухое,9490.0,5.0,
Вино Chateau Clinet (Pomerol),2014.0,Франция,Сухое,18990.0,5.0,1.0
Вино Chateau Lalande-Borie,2014.0,Франция,Сухое,6490.0,5.0,1.0
"Вино Chenas Le Jugement Dernier, Domaine Jules Desjourneys",2014.0,Франция,Сухое,9290.0,0.0,
"Вино Moulin-a-Vent, Domaine Jules Desjourneys",2014.0,Франция,Сухое,11490.0,0.0,
"Вино Valpolicella Superiore, Dal Forno Romano",2014.0,Италия,Сухое,19990.0,5.0,
Вино Montevertine,2015.0,Италия,Сухое,19990.0,5.0,
"Вино KAI, Errazuriz",2015.0,Чили,Сухое,19990.0,5.0,
"Вино Brunello di Montalcino Riserva, Le Potazzine",2015.0,Италия,Сухое,47990.0,0.0,
Вино Chateau Angelus,2015.0,Франция,Сухое,96590.0,0.0,
"Вино Amarone della Valpolicella, Dal Forno Romano",2015.0,Италия,Сухое,72490.0,0.0,
Вино Chateau Branaire-Ducru,2015.0,Франция,Сухое,12990.0,5.0,
"Вино Valpolicella Superiore, Dal Forno Romano",2015.0,Италия,Сухое,21490.0,5.0,
"Вино Derthona Costa del Vento, Vigneti Massa",2015.0,Италия,Полусухое,13790.0,0.0,
"Вино Brunello di Montalcino Bassolino di Sopra, Pian dell'Orino",2015.0,Италия,Сухое,44990.0,0.0,
Вино Tenuta di Valgiano,2015.0,Италия,Сухое,17990.0,0.0,
"Вино Bourgogne Aligote, Domaine Leroy",2015.0,Франция,Сухое,24990.0,0.0,
Вино Chateau Belair Monange Premier Grand Cru Classe(Saint-Emilion Grand Cru),2015.0,Франция,Сухое,44990.0,0.0,
Вино Le Serre Nuove dell'Ornellaia,2015.0,Италия,Сухое,19990.0,0.0,
Вино Domaine de l'A,2015.0,Франция,Сухое,6190.0,5.0,2.0
"Вино Вино Савиньи-ле-Бон Премье Крю о Вержелес 2015,0.75 л, 13.5%, Франция, Бургундия, САРЛ Симон Бизэ Фи, Simon Bize & Fils",2015.0,Франция,Сухое,14990.0,0.0,
Вино Chateau Quintus,2015.0,Франция,Сухое,30490.0,0.0,
"Вино Valpolicella Classico Superiore, Giuseppe Quintarelli",2015.0,Италия,Сухое,21490.0,5.0,
"Вино L’Hermitage Blanc  , Jean-Louis Chave",2015.0,Франция,Сухое,124990.0,0.0,
"Вино Chianti Classico Gran Selezione Vigneto Bellavista, Castello di Ama",2015.0,Италия,Сухое,59990.0,4.0,
"Вино Corton-Charlemagne Grand Cru, Domaine Bonneau du Martray",2015.0,Франция,Сухое,74990.0,0.0,
"Вино Boggina C, Petrolo",2015.0,Италия,Сухое,11190.0,0.0,
Вино Chateau Clinet (Pomerol),2015.0,Франция,Сухое,34990.0,5.0,1.0
Вино Chateau Beaumont,2015.0,Франция,Сухое,3990.0,4.6,7.0
Вино Chateau Troplong Mondot,2015.0,Франция,Сухое,30990.0,0.0,
"Вино Solare, Capannelle",2015.0,Италия,Сухое,7490.0,4.6,4.0
Вино Clos Fourtet,2015.0,Франция,Сухое,36490.0,0.0,
Вино Chateau Rocheyron,2015.0,Франция,Сухое,18490.0,4.0,
"Вино Focus Zuc di Volpe, Volpe Pasini",2015.0,Италия,Сухое,7490.0,4.0,1.0
"Вино Каберне Совиньон Семейный Pезерв, Сикоры",2015.0,Россия,Сухое,3490.0,4.7,1.0
"Вино Chateau Chantalouette, Chateau de Sales",2015.0,Франция,Сухое,7490.0,3.5,1.0
Вино Chateau La Lagune,2015.0,Франция,Сухое,12890.0,5.0,1.0
Вино Chateau Olivier Blanc,2015.0,Франция,Сухое,6690.0,5.0,
"Вино La Sirene de Giscours, Chateau Giscours",2015.0,Франция,Сухое,7190.0,0.0,
Вино Chateau la Gaffeliere,2015.0,Франция,Сухое,21990.0,5.0,
"Вино Cumieres Rouge Meunier, Geoffroy",2015.0,Франция,Сухое,11490.0,0.0,
"Вино Vitovska (Venezia Giulia), Vodopivec",2015.0,Италия,Сухое,11030.0,3.0,1.0
"Вино Amarone della Valpolicella Classico Riserva Mater, Domini Veneti",2015.0,Италия,Полусухое,39990.0,0.0,
"Вино L’Hermitage Blanc  , Jean-Louis Chave",2015.0,Франция,Сухое,124990.0,0.0,
"Вино Gewurztraminer Seigneurs de Ribeaupierre, Trimbach",2015.0,Франция,Полусладкое,8490.0,5.0,
"Вино Touraine la Guerrerie, Le Clos du Tue-Boeuf",2015.0,Франция,Сухое,6490.0,4.7,1.0
"Вино Riesling Frederic Emile, Trimbach",2016.0,Франция,Полусухое,13990.0,0.0,1.0
"Вино L'Echelier (Saumur), Thierry Germain",2016.0,Франция,Сухое,11990.0,0.0,
Вино Tenuta di Valgiano,2016.0,Италия,Сухое,17990.0,0.0,
"Вино Patrimo, Feudi di San Gregorio",2016.0,Италия,Сухое,16990.0,0.0,
"Вино Solo, Vodopivec",2016.0,Италия,Сухое,11990.0,0.0,
Вино Clos Floridene,2016.0,Франция,Сухое,4590.0,5.0,
Вино Pavillon Rouge du Chateau Margaux ,2016.0,Франция,Сухое,59990.0,5.0,
"Вино Chardonnay Alpine Vineyard, Rhys Vineyards",2016.0,Соединенные Штаты Америки,Сухое,24990.0,0.0,
"Вино Boca, Le Piane",2016.0,Италия,Сухое,12990.0,0.0,
"Вино Vitovska, Vodopivec",2016.0,Италия,Сухое,11510.0,3.0,1.0
Вино Chateau Beaumont,2016.0,Франция,Сухое,3790.0,4.6,7.0
"Вино Clos de L'Echelier, Thierry Germain",2016.0,Франция,Сухое,9490.0,0.0,
Вино Marques de Riscal Gran Reserva,2016.0,Испания,Сухое,8490.0,5.0,3.0
"Вино Chateauneuf-du-Pape Chateau de Nalys Rouge, Guigal",2016.0,Франция,Сухое,11694.0,0.0,
Вино Domaine de l'A,2016.0,Франция,Сухое,6690.0,5.0,2.0
"Вино Vino Nobile di Montepulciano Riserva, Fattoria del Cerro",2016.0,Италия,Сухое,2793.0,4.8,12.0
"Вино Arinzano Gran Vino Blanco, Propiedad de Arinzano",2016.0,Испания,Сухое,17510.0,0.0,
Вино Chateau de Fieuzal Blanc,2016.0,Франция,Сухое,12290.0,5.0,
"Вино Riesling 390eme Anniversaire, Trimbach",2016.0,Франция,Сухое,6990.0,5.0,1.0
Вино Chateau Lynch-Bages,2016.0,Франция,Сухое,37990.0,0.0,
Вино Penfolds Grange,2016.0,Австралия,Сухое,174990.0,0.0,
Вино Penfolds St Henri Shiraz,2016.0,Австралия,Сухое,27490.0,0.0,
Вино Bertinga,2016.0,Италия,Сухое,11190.0,5.0,1.0
"Вино Pinot Noir Laurene, Domaine Drouhin Oregon",2016.0,Соединенные Штаты Америки,Сухое,19990.0,5.0,
"Вино Savigny-les-Beaune 1er Cru aux Vergelesses  , Simon Bize & Fils",2016.0,Франция,Сухое,15490.0,0.0,
"Вино Patrimo, Feudi di San Gregorio",2016.0,Италия,Сухое,16990.0,0.0,
Вино Le Serre Nuove dell'Ornellaia,2016.0,Италия,Сухое,24130.0,5.0,2.0
"Вино Corton Grand Cru Le Corton, Bouchard Pere & Fils",2016.0,Франция,Сухое,34990.0,0.0,
"Вино Sena, Vina Sena",2016.0,Чили,Сухое,34990.0,5.0,
"Вино Tenuta Tascante Contrada Sciaranuova V.V., Tasca d'Almerita",2016.0,Италия,Сухое,12994.0,5.0,1.0
Вино Ornellaia,2016.0,Италия,Сухое,89990.0,5.0,
"Вино Chateauneuf-du-Pape Chateau de Nalys Rouge, Guigal",2016.0,Франция,Сухое,11694.0,0.0,
"Вино Punta di Adine, Bertinga",2016.0,Италия,Сухое,14990.0,0.0,
